task_type,sleep_hours,energy_level,day_of_week,hour_of_day,description_len,minutes
planning,6.6,6,3,19,180,77
creative,6.4,9,5,18,183,101
programming,6.2,5,6,8,66,110
planning,7.4,4,1,9,92,43
creative,4.8,5,6,18,83,96
meeting,8.9,9,1,19,188,78
admin,6.0,7,0,13,142,67
meeting,8.1,8,0,11,95,57
programming,5.1,4,6,16,106,128
programming,8.0,8,5,13,24,97
creative,8.0,6,6,8,97,90
programming,7.6,5,0,20,103,128
programming,5.5,7,2,20,135,152
meeting,7.4,6,1,10,109,60
meeting,5.2,3,3,7,48,64
planning,6.6,5,6,21,88,47
programming,8.5,9,5,11,175,98
programming,8.2,7,5,14,48,100
admin,7.0,4,4,7,61,39
meeting,5.5,7,1,13,140,73
programming,8.0,5,1,13,166,120
meeting,7.0,2,1,13,135,82
programming,3.5,6,6,21,168,174
programming,8.2,7,0,7,75,110
meeting,7.0,8,2,18,54,60
meeting,8.8,6,6,17,31,55
planning,5.4,8,3,9,92,54
meeting,3.0,7,0,17,147,109
admin,7.4,2,6,8,158,44
admin,7.4,6,2,21,26,24
programming,4.5,9,1,21,76,171
admin,5.5,6,2,11,16,29
programming,10.0,4,0,8,110,115
planning,6.5,7,6,19,45,38
programming,8.1,3,1,20,76,136
meeting,6.0,5,6,11,86,60
programming,3.9,1,0,11,167,145
planning,6.7,10,3,10,96,54
meeting,6.6,3,1,17,166,69
admin,6.4,8,2,13,81,30
programming,6.8,9,0,16,170,126
admin,7.4,9,4,12,68,50
programming,6.8,10,2,8,29,103
creative,5.1,2,2,21,166,139
programming,7.7,4,1,10,190,112
programming,4.1,5,6,19,138,150
programming,3.9,3,5,20,171,218
meeting,8.1,1,2,17,181,91
admin,7.8,6,0,13,118,39
programming,6.9,10,4,15,23,86
creative,4.9,2,3,15,174,123
meeting,5.9,9,4,18,172,75
meeting,6.6,1,0,9,196,82
meeting,4.6,9,1,7,33,71
meeting,5.9,7,0,15,119,70
admin,8.0,10,5,14,143,45
programming,9.1,2,5,13,47,118
programming,6.4,6,5,12,138,121
creative,8.1,8,2,20,50,74
planning,4.1,2,1,21,40,67
meeting,8.0,5,6,16,45,59
programming,5.8,6,5,13,114,122
admin,7.5,3,6,17,191,52
meeting,6.6,2,3,15,118,70
programming,9.0,6,3,12,40,103
programming,5.7,3,6,21,166,192
admin,7.9,2,0,20,122,58
admin,6.6,1,5,20,140,58
programming,6.8,8,2,16,195,140
programming,6.7,1,3,9,70,111
programming,5.7,5,4,19,15,112
admin,7.0,6,1,20,29,24
programming,6.9,3,4,9,120,115
programming,7.4,7,6,10,70,104
creative,7.1,2,3,16,183,113
programming,8.2,7,3,19,150,122
admin,8.4,2,0,20,32,38
programming,5.4,5,0,21,88,146
programming,8.3,7,5,20,40,121
programming,5.2,3,6,16,13,130
admin,7.9,4,1,14,127,42
creative,7.9,1,5,16,75,84
creative,4.1,3,0,15,153,110
meeting,7.1,9,2,20,124,80
admin,6.3,10,1,14,40,24
programming,5.9,5,2,17,185,139
programming,9.0,8,5,16,132,111
creative,6.0,2,0,8,52,77
programming,5.8,3,1,10,13,126
programming,7.1,7,5,10,199,112
programming,8.0,10,3,18,57,99
programming,6.8,4,5,8,165,134
programming,8.7,9,6,19,153,113
admin,7.8,7,4,14,98,37
meeting,3.7,1,3,9,135,81
creative,6.2,4,2,8,86,93
creative,6.2,10,3,13,167,99
programming,7.7,6,5,21,74,134
programming,3.1,6,3,7,78,151
meeting,10.0,10,4,21,23,58
admin,7.8,6,6,12,84,42
programming,7.2,5,5,19,171,139
admin,8.8,3,4,19,193,56
meeting,10.0,2,3,9,38,58
admin,8.3,3,4,19,88,34
meeting,8.4,9,3,9,162,78
programming,7.2,3,1,21,103,146
planning,6.8,3,3,11,75,51
creative,6.3,1,0,20,124,133
programming,5.8,2,4,9,49,107
creative,6.0,3,6,18,152,99
meeting,5.0,2,4,10,41,58
creative,6.9,8,2,19,29,79
creative,4.5,6,6,19,62,79
meeting,7.3,7,6,21,58,73
programming,6.9,1,2,9,98,127
programming,7.2,6,0,13,91,113
meeting,6.2,2,4,9,10,64
admin,10.0,6,6,20,176,41
programming,9.0,3,4,16,70,116
programming,5.1,7,6,10,192,130
creative,7.3,3,2,8,139,82
planning,6.1,9,2,8,103,44
meeting,5.5,3,3,15,26,77
programming,5.0,7,5,17,166,147
programming,7.6,4,4,7,126,126
programming,6.0,8,4,7,115,133
planning,8.5,2,6,16,141,49
programming,8.5,8,3,7,94,109
admin,9.1,9,4,20,52,43
programming,5.7,8,6,9,85,106
admin,7.7,6,0,8,149,58
admin,7.9,10,2,9,59,23
creative,6.3,1,2,20,70,116
programming,5.8,7,5,11,113,116
programming,9.4,1,2,15,60,125
programming,7.3,7,1,8,86,108
planning,8.0,2,0,18,107,62
creative,5.8,8,0,17,92,91
admin,5.2,2,3,21,87,38
admin,6.1,3,1,20,14,49
admin,6.8,3,4,7,165,46
programming,5.4,1,5,17,147,172
planning,7.0,5,0,12,97,49
meeting,4.5,5,1,9,189,82
meeting,5.3,10,1,19,26,63
meeting,8.0,5,6,13,74,53
programming,7.9,9,0,12,133,100
programming,6.4,6,6,17,30,106
admin,5.5,6,3,13,191,61
programming,5.5,3,1,19,120,153
admin,6.4,5,2,19,186,46
programming,8.0,10,1,11,116,105
meeting,8.4,7,4,7,31,50
programming,6.3,3,0,20,78,155
meeting,5.3,2,4,9,45,71
admin,7.4,5,3,9,158,43
programming,5.8,3,5,13,193,153
admin,6.2,5,2,21,82,52
meeting,9.0,9,0,20,100,82
admin,8.2,10,1,19,185,44
planning,7.2,1,2,9,135,53
admin,5.1,4,1,17,155,53
programming,7.3,10,3,11,108,109
programming,8.6,5,5,10,24,82
programming,6.4,2,0,10,53,113
admin,9.0,2,3,19,182,66
programming,8.9,1,3,13,106,124
meeting,9.5,8,5,7,45,65
admin,7.5,2,3,13,177,43
programming,7.9,3,3,21,188,156
creative,9.1,2,1,14,39,65
programming,7.7,4,6,9,35,93
programming,6.2,1,4,21,94,177
admin,6.3,3,1,9,110,40
meeting,7.4,5,5,10,130,61
admin,5.1,10,2,21,40,27
meeting,6.8,1,5,19,193,107
programming,8.6,4,5,12,198,130
creative,3.7,6,5,20,26,102
creative,9.3,4,5,13,107,95
admin,8.7,7,3,7,135,41
programming,6.3,7,5,21,33,126
admin,7.8,6,2,19,131,38
meeting,7.0,9,5,10,141,61
programming,8.8,2,1,18,146,121
planning,8.5,10,3,13,139,49
programming,4.9,8,1,17,172,163
planning,7.9,8,3,8,132,45
meeting,6.7,10,1,7,47,46
programming,7.1,4,0,7,182,136
meeting,5.9,6,4,16,152,79
creative,9.6,6,4,20,179,113
admin,8.6,5,3,20,140,46
creative,5.9,1,0,12,168,107
admin,5.0,3,2,18,189,75
admin,6.4,7,0,11,178,39
creative,7.7,8,6,7,66,76
programming,7.4,2,3,16,51,123
meeting,8.9,3,0,9,62,61
programming,8.2,4,2,21,128,139
planning,8.5,5,3,17,130,43
planning,7.5,3,4,13,65,58
programming,4.9,5,5,18,96,126
admin,6.7,8,0,15,85,50
planning,8.6,8,4,19,190,67
programming,6.9,2,4,15,94,125
admin,7.8,6,1,21,94,46
planning,6.5,4,2,12,169,75
programming,5.5,9,6,9,90,112
admin,6.8,10,5,7,191,50
programming,7.5,2,0,9,174,112
planning,6.0,8,4,16,17,34
planning,6.6,1,4,8,20,50
planning,5.6,6,6,17,191,62
meeting,8.7,10,2,11,197,81
creative,6.6,1,5,14,147,107
creative,9.2,2,5,11,124,89
programming,9.3,3,6,7,90,96
creative,6.9,9,4,9,96,63
programming,5.5,5,4,18,51,114
admin,3.9,10,4,11,46,47
programming,4.8,10,4,13,101,125
programming,4.9,2,1,11,195,147
programming,9.1,10,1,20,94,147
admin,7.2,5,6,16,68,37
programming,7.6,5,5,11,161,118
admin,3.7,1,3,13,165,57
programming,5.2,3,0,19,46,139
programming,8.3,5,2,21,30,129
meeting,7.4,9,3,14,170,82
creative,6.8,10,1,20,139,107
programming,7.8,1,1,14,92,130
admin,9.5,8,1,13,165,37
creative,6.7,1,3,19,152,116
admin,7.1,9,1,20,10,22
programming,7.3,6,3,9,116,102
programming,10.0,1,1,17,37,125
creative,3.9,8,4,8,59,99
programming,8.0,5,4,7,44,85
creative,6.8,7,0,12,165,88
meeting,7.9,7,1,19,146,77
planning,6.0,7,6,15,161,50
creative,6.9,6,0,9,141,94
planning,8.1,8,3,11,193,62
meeting,10.0,9,0,15,50,65
creative,8.2,2,1,20,76,94
meeting,5.7,7,3,20,57,71
meeting,6.4,2,6,15,95,84
admin,6.3,6,3,13,67,32
creative,4.3,2,4,20,48,110
planning,6.5,10,3,10,34,40
creative,8.1,6,3,17,69,60
meeting,5.1,2,0,8,126,98
meeting,8.6,1,6,8,95,73
admin,7.7,7,5,10,123,33
programming,5.9,3,3,7,184,158
programming,6.8,4,2,20,198,175
meeting,9.4,6,5,10,93,56
programming,8.1,5,4,18,164,138
programming,7.0,4,6,20,133,169
programming,6.6,9,6,17,120,124
programming,7.1,6,4,12,51,114
programming,6.2,6,3,12,61,124
planning,3.8,2,0,13,57,47
meeting,10.0,6,5,11,41,49
meeting,7.2,7,4,15,161,71
admin,7.6,8,4,8,140,39
programming,6.9,8,2,8,127,122
planning,5.9,9,3,10,164,62
creative,6.7,10,5,21,177,102
programming,4.6,3,4,10,32,119
meeting,10.0,10,6,10,144,64
creative,5.1,7,4,7,136,109
planning,5.5,7,4,10,46,49
meeting,6.3,1,4,18,16,57
admin,8.9,8,0,11,86,44
programming,7.0,4,1,15,91,123
planning,5.1,5,2,9,104,49
programming,8.9,6,6,21,31,114
planning,8.1,3,0,9,87,36
admin,7.8,5,2,20,91,32
admin,8.1,10,4,11,154,31
meeting,10.0,5,2,16,28,50
programming,10.0,1,3,12,104,110
programming,6.0,3,3,9,48,103
programming,9.4,3,1,7,126,127
programming,7.6,1,1,16,45,132
creative,7.7,7,2,14,24,56
meeting,4.5,1,0,18,166,104
programming,6.7,7,0,7,69,109
planning,5.8,4,4,8,193,68
creative,8.2,9,0,9,177,86
planning,8.6,7,1,12,153,52
planning,3.9,5,0,10,170,65
programming,7.0,7,4,10,98,104
meeting,8.7,9,3,21,25,70
creative,6.7,10,0,15,167,107
admin,8.1,6,0,12,107,34
programming,7.5,1,1,18,113,130
creative,7.5,6,2,8,53,78
programming,6.6,1,3,13,175,150
programming,5.2,4,2,21,60,161
meeting,5.3,8,4,19,197,97
admin,8.1,5,4,9,27,31
admin,7.0,5,2,15,14,25
programming,6.8,10,1,12,177,121
creative,6.4,8,5,14,15,69
programming,6.5,8,1,19,85,112
programming,8.6,1,5,19,124,137
creative,6.5,5,5,7,21,83
planning,5.0,5,1,8,21,53
creative,8.1,8,5,12,82,82
creative,6.7,1,5,9,115,83
admin,7.0,7,5,7,159,61
admin,9.4,7,3,12,58,34
programming,7.0,9,4,11,187,113
meeting,7.4,2,5,19,13,63
meeting,5.2,3,4,15,187,92
programming,6.7,4,6,12,12,91
admin,7.9,1,4,11,153,41
meeting,4.7,7,6,7,23,61
programming,7.3,10,3,21,73,131
programming,7.2,3,4,7,129,120
admin,7.1,3,2,17,178,62
programming,8.6,3,0,7,77,117
creative,7.5,8,3,13,68,63
meeting,9.2,9,0,12,139,91
meeting,5.5,10,2,20,128,81
admin,7.2,2,1,11,19,21
creative,7.1,10,1,10,84,75
programming,5.4,10,5,17,99,123
admin,8.4,1,1,20,110,61
admin,10.0,9,3,19,163,48
programming,7.0,6,1,19,141,115
creative,7.8,9,3,17,37,73
creative,7.1,6,3,14,139,66
admin,5.9,2,0,17,75,45
creative,4.3,1,1,14,153,131
creative,5.9,8,4,11,133,67
admin,4.9,3,6,21,66,43
creative,9.6,1,1,10,160,79
admin,6.8,8,1,21,160,56
admin,6.5,1,1,8,30,50
admin,8.3,8,5,13,112,42
creative,5.3,1,4,11,162,104
programming,5.8,9,4,9,67,82
creative,7.1,9,3,15,46,64
creative,8.5,9,4,15,186,92
programming,7.8,3,3,17,152,129
creative,7.4,4,6,21,165,115
programming,7.1,5,0,17,141,128
programming,7.6,6,3,16,56,96
admin,7.3,9,1,20,187,60
programming,5.5,4,2,17,197,145
creative,7.1,6,2,14,199,93
creative,5.4,1,5,7,112,100
meeting,7.1,2,1,18,81,74
programming,6.3,8,3,9,180,102
programming,10.0,4,1,8,98,97
admin,6.9,10,5,10,67,56
planning,4.9,7,4,8,114,53
admin,6.8,4,3,18,189,69
programming,7.8,9,6,17,78,105
admin,9.5,9,1,14,55,25
meeting,6.1,4,4,7,162,89
creative,4.6,8,5,10,34,74
programming,8.2,6,4,11,130,101
creative,4.9,1,3,20,44,120
meeting,6.3,7,5,16,198,90
planning,6.6,1,5,10,24,34
programming,6.9,3,5,14,115,125
admin,8.0,8,0,8,137,37
planning,6.0,9,5,15,83,40
programming,6.6,3,0,8,97,142
planning,7.0,1,4,8,172,63
admin,7.2,1,6,19,38,40
programming,7.1,7,0,8,47,102
programming,7.7,5,4,18,33,103
admin,8.3,1,0,16,28,29
programming,7.6,6,4,14,183,112
admin,7.7,6,4,9,58,29
programming,4.6,4,6,16,53,134
admin,7.1,7,5,17,163,43
programming,7.7,7,6,20,162,163
creative,8.1,9,6,16,44,74
planning,6.0,1,5,21,173,90
planning,6.0,5,4,20,151,78
admin,6.1,10,5,14,65,16
programming,7.8,3,4,13,143,132
creative,8.6,7,5,16,41,86
programming,6.4,4,2,10,35,106
programming,8.4,4,0,13,152,120
programming,7.2,1,6,17,186,140
meeting,6.8,1,4,14,65,61
creative,6.7,10,1,12,46,64
admin,8.1,2,5,12,134,44
meeting,7.5,2,5,9,62,50
programming,10.0,1,3,11,195,129
planning,5.7,8,1,16,110,57
meeting,7.8,6,1,8,87,48
meeting,6.2,6,6,18,45,53
programming,5.7,10,2,11,110,109
creative,7.0,10,0,11,20,56
admin,7.2,9,2,13,36,28
programming,10.0,5,0,10,11,82
programming,6.7,4,4,20,31,132
admin,5.3,6,6,17,75,32
admin,7.4,8,2,12,121,43
programming,3.9,1,3,15,26,160
planning,6.9,7,0,10,141,43
programming,7.0,8,2,17,23,110
meeting,8.2,9,6,20,16,46
planning,8.5,8,3,12,88,49
meeting,6.2,7,6,19,153,87
admin,6.8,3,1,18,113,34
meeting,5.9,2,5,15,156,92
programming,5.3,3,4,16,10,114
planning,7.5,4,6,18,40,49
meeting,5.1,4,4,7,137,70
creative,6.4,6,6,14,141,86
programming,5.5,7,1,7,100,127
programming,7.8,4,6,10,67,102
programming,9.7,10,6,9,65,92
admin,5.0,6,2,10,190,60
meeting,4.2,9,5,20,52,78
creative,6.8,6,1,13,83,72
meeting,7.0,3,3,19,58,76
planning,7.3,1,5,20,121,73
programming,6.3,10,0,15,117,119
creative,6.7,10,2,15,69,65
creative,7.6,5,5,16,103,90
creative,8.6,10,0,7,153,98
creative,4.1,10,1,21,82,112
creative,6.4,3,6,16,108,88
admin,7.3,8,4,7,197,54
programming,5.6,10,5,15,123,128
programming,9.6,1,5,10,184,134
planning,6.0,2,0,18,24,35
admin,6.9,3,0,19,72,32
creative,7.8,3,4,20,37,89
meeting,6.1,8,0,9,157,76
programming,4.2,5,0,19,170,155
programming,6.4,8,5,15,45,112
admin,8.5,6,4,11,134,56
meeting,6.5,2,4,18,150,77
programming,5.7,4,6,12,71,136
meeting,8.4,9,5,7,160,66
programming,6.5,4,6,7,22,107
admin,6.2,5,1,19,97,43
programming,7.2,5,1,20,49,138
creative,8.2,10,5,13,167,87
programming,10.0,8,0,16,133,117
meeting,8.2,6,2,21,34,60
programming,8.7,10,1,14,163,101
programming,6.2,7,1,17,33,108
meeting,5.5,6,5,14,106,63
meeting,7.1,5,6,20,48,79
admin,7.2,5,5,19,118,53
programming,5.4,3,2,13,70,126
admin,6.7,7,2,19,186,48
creative,7.6,10,4,17,178,89
creative,7.5,5,5,15,29,72
programming,7.8,7,1,7,181,129
meeting,7.4,2,6,8,25,86
programming,6.2,9,6,19,158,129
programming,6.2,8,3,9,24,95
planning,5.2,5,3,19,176,84
programming,9.7,2,0,18,51,115
meeting,7.0,6,1,19,198,75
admin,6.7,8,3,11,13,25
admin,5.6,7,6,10,161,56
admin,10.0,8,1,10,140,40
programming,5.4,4,5,21,123,171
programming,6.4,3,1,14,138,143
meeting,7.6,7,3,14,150,70
programming,7.9,2,6,17,63,128
meeting,8.4,5,1,13,91,55
programming,9.7,7,2,7,49,102
programming,7.8,1,0,16,136,130
meeting,5.4,4,4,21,148,84
programming,6.6,2,6,10,51,113
admin,7.5,6,3,7,102,55
admin,10.0,1,5,17,13,26
creative,4.9,7,4,20,34,88
programming,8.8,3,0,11,109,109
programming,7.3,1,6,9,173,125
programming,8.3,8,6,9,134,112
admin,6.8,7,2,10,181,50
admin,5.7,2,2,8,49,22
programming,8.1,7,2,13,101,112
planning,8.0,3,2,18,182,67
programming,8.5,9,3,19,145,114
meeting,7.0,8,6,10,94,51
admin,6.1,5,3,11,44,43
creative,4.7,7,1,18,181,105
admin,8.2,3,5,20,155,63
creative,7.6,1,1,8,56,80
programming,5.6,1,5,12,162,164
creative,6.2,2,0,15,178,111
programming,6.3,8,1,14,14,105
creative,4.8,1,0,14,199,120
meeting,5.8,5,0,8,134,81
creative,5.3,9,0,21,120,124
meeting,6.4,9,2,10,81,51
admin,5.9,2,4,14,96,38
meeting,4.6,7,4,17,12,83
admin,10.0,1,3,7,174,47
programming,8.9,3,0,14,102,113
programming,5.8,6,2,9,50,113
programming,7.4,9,1,14,157,134
programming,7.6,10,1,12,96,91
creative,8.8,2,3,13,177,107
programming,5.8,7,3,8,94,121
planning,8.6,4,0,21,145,64
programming,6.2,2,0,7,142,153
programming,5.0,3,1,12,34,126
creative,8.1,6,1,18,48,65
admin,8.9,10,1,9,174,46
meeting,10.0,9,1,10,134,61
admin,5.2,8,4,19,114,48
admin,8.0,10,0,21,14,38
programming,6.4,9,0,15,145,131
planning,8.2,4,1,9,13,30
planning,4.8,4,2,8,178,76
admin,5.1,9,1,8,69,43
programming,5.8,8,5,8,63,122
admin,7.1,2,6,12,159,48
programming,6.0,8,6,8,87,123
programming,8.0,1,3,17,28,96
programming,8.5,9,5,13,108,122
meeting,7.9,9,2,13,77,71
creative,9.4,8,3,13,42,75
admin,7.6,5,6,20,159,64
admin,5.2,5,2,19,148,51
meeting,9.0,3,3,8,25,48
programming,6.1,5,1,13,136,118
meeting,8.4,4,1,16,102,74
planning,9.4,1,2,14,53,40
programming,7.7,9,3,14,18,93
creative,4.8,10,4,20,87,112
admin,5.6,4,2,8,88,41
meeting,9.0,3,2,11,199,81
admin,6.7,6,5,20,95,30
meeting,7.1,1,0,12,24,60
creative,8.1,5,2,15,15,69
planning,8.0,7,4,12,10,28
meeting,7.4,2,1,16,29,52
programming,6.7,10,3,12,173,138
admin,6.5,9,0,16,139,44
planning,8.3,6,3,16,79,46
programming,7.8,2,1,21,11,131
admin,6.6,8,2,12,140,47
admin,8.6,8,5,15,16,35
admin,6.8,1,4,16,93,48
programming,5.7,1,0,13,178,150
admin,5.9,1,4,7,63,36
planning,5.5,4,6,7,50,43
programming,6.6,4,4,20,124,155
programming,8.9,8,4,10,142,112
planning,5.8,1,4,21,111,73
programming,7.3,10,1,18,91,112
creative,6.0,3,4,8,72,72
meeting,6.6,1,5,9,10,65
programming,4.7,9,4,18,34,118
creative,6.7,10,1,13,183,101
meeting,6.7,9,3,20,152,91
meeting,7.8,7,1,13,154,67
meeting,7.3,8,6,20,158,86
admin,5.2,1,6,18,190,57
programming,8.6,5,5,9,64,102
meeting,7.3,2,5,19,116,58
planning,7.3,1,2,8,147,57
programming,7.0,3,1,21,194,166
admin,6.2,7,3,19,74,48
programming,7.3,1,2,19,46,128
creative,7.7,2,2,7,121,79
programming,4.4,2,0,15,16,135
planning,6.2,4,4,16,85,57
meeting,6.6,3,2,9,49,75
programming,7.4,3,2,15,187,135
programming,8.8,10,5,21,10,105
programming,5.8,5,3,21,157,163
meeting,6.3,3,2,10,117,70
programming,6.2,7,6,21,168,162
creative,5.8,5,3,16,77,90
meeting,6.5,4,4,12,21,59
programming,8.2,3,6,19,159,132
admin,5.4,4,5,13,138,63
admin,7.6,2,6,16,135,46
programming,4.4,1,0,20,10,165
programming,6.2,3,0,12,140,141
programming,6.5,2,4,7,126,128
admin,9.5,1,4,12,158,43
admin,6.6,1,6,17,22,24
meeting,3.7,2,5,20,198,113
creative,4.0,9,5,12,150,116
creative,7.1,5,1,11,114,78
admin,7.9,9,2,9,170,54
creative,7.6,8,2,16,143,92
programming,7.3,6,2,9,34,88
programming,8.7,1,3,17,160,144
programming,6.2,10,1,16,97,117
programming,8.3,5,6,19,110,108
meeting,4.6,1,2,13,35,70
planning,5.6,7,3,14,141,72
programming,4.3,10,3,20,111,165
programming,6.6,8,0,9,172,124
meeting,6.9,8,3,9,109,58
planning,7.2,7,4,13,34,45
programming,7.1,2,5,16,157,145
meeting,5.6,5,3,18,10,42
programming,6.7,4,4,13,103,123
programming,4.8,5,4,17,77,128
planning,9.0,10,0,15,32,33
planning,6.5,9,6,20,115,74
programming,6.3,4,0,12,159,126
planning,9.4,8,3,21,104,53
admin,5.1,8,0,19,71,31
creative,5.3,2,0,13,138,117
meeting,5.4,6,6,17,196,82
meeting,6.9,5,5,16,77,48
meeting,7.6,2,2,7,156,85
admin,8.1,10,3,13,39,26
programming,10.0,4,6,8,138,128
programming,3.6,7,3,13,57,138
programming,7.9,1,3,9,28,100
admin,6.2,9,0,15,136,36
programming,6.1,10,5,19,189,128
admin,6.1,1,0,11,159,39
planning,5.6,5,4,13,59,45
programming,9.5,7,1,14,143,110
admin,8.3,8,1,19,158,47
meeting,7.0,2,6,18,156,85
creative,9.0,4,1,8,174,110
programming,4.7,2,6,17,72,148
admin,5.0,4,2,7,166,56
creative,3.7,6,0,13,197,103
planning,6.0,6,4,21,171,75
admin,7.2,2,4,12,138,56
meeting,7.2,4,1,12,57,64
admin,7.2,4,5,8,98,32
creative,4.9,1,2,9,136,101
admin,8.2,2,6,10,158,49
programming,7.4,3,2,9,171,119
planning,8.1,5,1,8,163,54
admin,4.2,8,6,9,45,14
admin,7.5,6,6,20,160,49
programming,5.2,3,1,12,90,139
admin,6.4,6,0,15,56,40
meeting,7.8,7,5,10,181,73
admin,7.1,6,2,12,157,58
programming,5.7,10,4,7,36,112
admin,7.0,6,1,18,198,50
planning,4.7,1,0,12,174,73
programming,8.7,3,4,18,61,114
planning,6.7,7,2,9,84,42
meeting,8.7,4,1,15,101,60
creative,6.2,4,6,10,71,64
creative,6.2,7,5,13,75,75
admin,5.9,9,1,10,161,46
admin,8.3,2,5,17,89,34
creative,5.9,9,0,12,149,89
meeting,8.0,3,0,20,153,102
programming,6.4,6,2,13,173,137
admin,4.0,4,5,8,139,70
creative,6.1,1,1,16,199,106
creative,5.2,9,0,12,73,89
creative,7.1,6,1,14,38,68
meeting,5.2,8,2,21,96,86
creative,8.4,2,5,19,105,103
programming,6.9,7,1,19,40,91
meeting,6.7,6,4,21,92,74
programming,8.0,2,1,18,152,125
programming,8.4,2,3,12,192,133
meeting,7.0,4,3,8,42,42
meeting,5.8,4,6,10,189,93
admin,4.3,3,2,7,109,59
meeting,6.0,8,2,21,157,98
meeting,6.1,7,2,13,82,56
programming,7.2,2,4,14,175,144
meeting,6.5,3,5,16,140,88
programming,8.0,10,4,8,191,127
programming,6.1,9,6,16,27,108
admin,6.9,5,1,21,135,63
admin,8.8,2,0,11,16,17
admin,7.5,3,5,17,172,52
meeting,6.9,8,3,14,133,78
meeting,6.1,4,3,17,123,79
creative,6.1,2,6,14,93,101
meeting,5.7,2,3,21,93,97
meeting,6.2,6,6,11,92,66
programming,8.1,8,1,14,114,108
programming,6.7,7,1,20,111,139
meeting,5.0,4,2,12,102,78
meeting,9.7,2,0,21,69,89
admin,7.5,9,2,21,111,46
meeting,4.9,4,1,11,33,63
admin,6.3,9,4,19,118,45
creative,7.2,5,2,20,176,128
creative,9.6,7,5,17,149,86
admin,5.3,5,1,10,103,45
planning,8.5,2,1,11,190,59
programming,9.1,6,4,18,73,94
programming,6.1,7,4,10,13,94
programming,6.6,6,4,7,103,128
admin,5.4,3,0,9,142,54
creative,6.7,10,5,14,25,54
programming,6.9,8,1,13,36,110
planning,8.0,3,4,18,141,46
programming,8.6,5,0,21,81,134
planning,5.9,9,3,13,57,50
meeting,4.0,5,5,17,145,84
programming,7.0,7,6,9,90,108
meeting,7.4,7,6,15,183,78
programming,7.4,5,3,21,53,129
programming,6.5,2,3,12,61,115
programming,7.2,5,1,14,43,102
creative,9.3,7,0,14,199,103
meeting,7.6,7,0,9,30,36
programming,6.4,4,3,10,33,106
admin,6.2,1,5,20,53,28
admin,6.7,6,2,12,123,35
programming,9.5,3,3,8,178,129
meeting,6.7,5,1,18,166,81
programming,7.0,4,3,18,112,118
programming,6.3,2,5,17,143,139
admin,8.6,7,5,18,65,41
programming,9.9,5,3,13,23,104
meeting,7.7,7,0,8,187,76
admin,7.1,9,3,17,110,38
programming,7.1,4,4,11,189,121
admin,3.4,5,4,18,10,47
programming,8.1,9,2,10,21,83
planning,7.2,10,1,15,124,67
meeting,7.6,4,1,19,115,75
creative,5.9,5,6,19,161,98
admin,6.4,5,0,21,46,31
programming,6.4,8,1,8,12,110
admin,8.5,4,2,13,164,44
planning,6.4,4,4,19,62,44
admin,10.0,7,0,13,109,45
creative,7.6,5,5,13,26,64
creative,5.1,6,4,7,122,93
programming,6.8,6,2,14,119,118
programming,6.0,6,0,8,152,126
admin,3.7,10,3,21,176,69
meeting,9.4,5,1,21,13,59
creative,8.1,5,2,11,154,70
planning,7.8,9,0,8,148,53
meeting,7.2,8,4,19,21,49
programming,4.9,4,0,11,41,108
creative,6.3,7,3,13,164,103
programming,8.3,8,2,12,181,117
creative,5.4,9,0,19,52,103
meeting,3.2,5,5,21,186,122
admin,6.7,3,2,18,113,56
programming,6.8,4,2,11,102,101
admin,7.2,10,4,10,52,12
meeting,8.1,6,6,14,140,67
admin,8.0,10,1,17,166,52
programming,7.4,5,6,20,94,134
admin,8.8,9,5,14,44,24
creative,4.7,3,3,7,126,92
programming,7.8,2,0,16,185,133
programming,7.9,6,6,8,176,120
programming,5.1,7,1,9,161,122
admin,4.7,5,4,19,29,26
admin,5.9,1,1,7,152,49
meeting,6.0,3,2,17,94,88
programming,8.1,3,2,9,126,115
meeting,6.1,4,3,16,115,83
admin,5.7,10,5,18,155,54
meeting,6.1,6,0,14,197,77
planning,8.7,5,0,10,114,53
programming,7.0,1,4,19,102,146
admin,6.7,6,3,19,50,43
meeting,6.8,9,0,13,109,74
meeting,8.9,1,5,13,78,68
admin,5.9,8,2,17,115,44
admin,9.0,8,3,11,148,48
planning,7.3,3,1,18,193,56
programming,6.8,9,6,7,155,132
programming,10.0,8,6,16,149,113
admin,5.4,3,3,10,153,69
admin,6.5,10,3,13,36,27
programming,5.2,5,5,20,109,159
programming,8.4,3,5,11,154,116
programming,9.5,5,0,8,94,101
creative,9.5,9,6,20,128,102
programming,8.8,4,4,14,40,104
programming,6.7,6,4,8,118,129
programming,6.5,3,5,17,172,148
meeting,4.5,3,0,14,36,71
programming,10.0,5,0,19,96,101
meeting,7.7,8,0,17,169,70
programming,6.3,8,5,8,26,120
creative,9.0,3,4,17,20,70
programming,5.5,8,0,11,138,136
meeting,7.6,8,5,10,91,51
creative,6.7,3,1,7,58,101
admin,8.0,10,1,20,50,27
meeting,6.9,10,2,18,29,51
programming,4.8,2,1,14,80,148
programming,7.1,10,3,16,46,113
admin,8.6,2,2,18,135,53
planning,7.0,9,1,9,153,41
admin,8.2,7,3,19,48,24
admin,5.4,6,1,10,118,33
admin,7.0,7,5,10,182,41
meeting,6.1,8,6,11,73,59
programming,8.1,1,3,9,184,111
